symbol,exchange,segment
TENNIND,NSE,LARGE_CAP
THELEELA,NSE,LARGE_CAP
THERMAX,NSE,MID_CAP
TIINDIA,NSE,MID_CAP
TIMKEN,NSE,LARGE_CAP
TITAGARH,NSE,LARGE_CAP
TITAN,NSE,LARGE_CAP
TMCV,NSE,LARGE_CAP
TMPV,NSE,LARGE_CAP
TORNTPHARM,NSE,LARGE_CAP
TORNTPOWER,NSE,MID_CAP
TRAVELFOOD,NSE,LARGE_CAP
TRENT,NSE,LARGE_CAP
TRIDENT,NSE,LARGE_CAP
TRITURBINE,NSE,LARGE_CAP
TTML,NSE,LARGE_CAP
TVSMOTOR,NSE,LARGE_CAP
UBL,NSE,MID_CAP
UCOBANK,NSE,LARGE_CAP
ULTRACEMCO,NSE,LARGE_CAP
UNIONBANK,NSE,LARGE_CAP
UNITDSPR,NSE,LARGE_CAP
UNOMINDA,NSE,MID_CAP
UPL,NSE,MID_CAP
URBANCO,NSE,LARGE_CAP
USHAMART,NSE,LARGE_CAP
UTIAMC,NSE,LARGE_CAP
VBL,NSE,LARGE_CAP
VEDL,NSE,LARGE_CAP
VIJAYA,NSE,LARGE_CAP
VMM,NSE,MID_CAP
VOLTAS,NSE,MID_CAP
VTL,NSE,LARGE_CAP
WAAREEENER,NSE,MID_CAP
WELCORP,NSE,LARGE_CAP
WELSPUNLIV,NSE,LARGE_CAP
WHIRLPOOL,NSE,LARGE_CAP
WIPRO,NSE,LARGE_CAP
WOCKPHARMA,NSE,LARGE_CAP
YESBANK,NSE,MID_CAP
ZEEL,NSE,LARGE_CAP
ZENSARTECH,NSE,LARGE_CAP
ZENTEC,NSE,LARGE_CAP
ZFCVINDIA,NSE,LARGE_CAP
ZYDUSLIFE,NSE,LARGE_CAP
ZYDUSWELL,NSE,LARGE_CAP
